region,state,count
Northeast,CT,3945
Northeast,ME,1438
Northeast,MA,6824
Northeast,NH,1464
Northeast,RI,1115
Northeast,VT,657
Northeast,NJ,10311
Northeast,NY,22154
Northeast,PA,13909
Midwest,IL,14110
Midwest,IN,6616
Midwest,MI,11044
Midwest,OH,12436
Midwest,WI,6201
Midwest,IA,3480
Midwest,KS,3283
Midwest,MN,6167
Midwest,MO,6037
Midwest,NE,2220
Midwest,ND,691
Midwest,SD,767
South,DE,1017
South,DC,512
South,FL,19611
South,GA,10598
South,MD,5722
South,NC,9790
South,SC,4272
South,VA,7569
South,WV,1808
South,AL,4667
South,KY,4838
South,MS,2359
South,TN,6478
South,AR,2931
South,LA,4737
South,OK,4050
South,TX,32596
West,AZ,7011
West,CO,5449
West,ID,1883
West,MT,1057
West,NV,2747
West,NM,2103
West,UT,4084
West,WY,553
West,AK,807
West,CA,42036
West,HI,1244
West,OR,4121
West,WA,7621
