state,population
AL,1110087
AK,177739
AZ,1592435
AR,695680
CA,8652868
CO,1232116
CT,735582
DE,206703
DC,123996
FL,4234511
GA,2505369
HI,301536
ID,460778
IL,2775737
IN,1573388
IA,727981
KS,695904
KY,1007420
LA,1074840
ME,249306
MD,1354373
MA,1350968
MI,2130448
MN,1302973
MS,684333
MO,1369735
MT,232568
NE,478986
NV,690856
NH,254597
NJ,2006286
NM,467455
NY,4069680
NC,2281611
ND,183162
OH,2580179
OK,950246
OR,851011
PA,2648608
RI,206453
SC,1105504
SD,217484
TN,1528425
TX,7401483
UT,936962
VT,115868
VA,1871848
WA,1660819
WV,354931
WI,1258867
WY,131341
